keyword,rank,count,keywords,ranks,counts
,,,"['most documents', 'new documents', 'large data sets', 'templates', 'source code', 'literature corpora', 'metadata', 'most cases', 'English', 'ASCII format', 'unstructured or semi-structured documents', 'time', 'epilogues', 'preambles', 'knowledge', 'Project Gutenberg', 'ASCII', 'users', 'Statistical techniques', 'a large fraction', 'These templates', 'the templates', 'these templates', 'the Project Gutenberg corpus', 'the programmers', 'various technical\nsolutions', 'Rule-based parsing', 'a statistical approach', 'some\ndocuments', 'frequent\noccurrences', 'the burden', 'our approach', 'the potential', '  Collaborative work', 'the\ncase', 'We', 'that']","[0.11922836098524531, 0.11750827029093788, 0.10910668874553114, 0.09816141550819771, 0.09209465950215091, 0.08691621762260322, 0.08589937585915756, 0.08393569714816537, 0.08299899798481383, 0.0811306498014448, 0.07432919310445285, 0.07087659891396858, 0.06675269286023881, 0.06500272704133814, 0.06306279941790048, 0.06304029969187527, 0.06002002032844242, 0.05210865119669612, 0.05043518012660571, 0.05043029643223863, 0.045338815734154124, 0.045338815734154124, 0.045338815734154124, 0.04386751712209047, 0.04062415452040687, 0.03910922216547942, 0.036270829763195914, 0.036147053131161025, 0.035767985412413376, 0.03348490271743265, 0.03203166248754914, 0.028233960457582297, 0.026145814178606883, 0.025742057521621352, 0.01928393737715409, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2]"
,,,"['new ones', 'ISO TC37 SC4 WG1', 'existing language resources', 'ISO', 'development', 'The Linguistic Annotation Framework', 'the Linguistic Annotation Framework', 'a basis', '  This paper']","[0.21448493606666932, 0.18910286843346102, 0.17936692099996554, 0.09568137757551622, 0.0888754029390507, 0.08249046271867626, 0.08249046271867626, 0.04730309362609491, 0.021758961245445525]","[1, 1, 1, 1, 1, 2, 2, 1, 1]"
,,,"['lexical information', 'information', 'the abstract model', 'manipulation', 'extraction', 'XSL', 'the XSL transformation language', 'XML', 'a typical dictionary\nentry', 'a general model', 'an abstract\nmodel', 'this model', 'any format', 'the\ninformation', 'a semantics', 'the hierarchy', 'a well-formed XML document', '  We', 'We', 'that']","[0.1459452326295904, 0.13947494917900427, 0.09222591970891598, 0.09073367956560588, 0.0904570242048839, 0.08406612089489508, 0.07741464687426235, 0.07705923905343819, 0.07434116048714695, 0.07164253172535859, 0.06693524276910656, 0.061986698279347587, 0.047072242059406466, 0.0467813201283873, 0.04523513468517833, 0.041188457127737665, 0.04029907218097254, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['powerful representation formalism', 'reasoning approach', 'ontological information', 'practicality factors', 'real-life natural language text', 'advanced features', 'Natural Language Understanding', 'domains', 'response', 'question', 'full-discourse natural language\nunderstanding', 'NaLURI', 'Intelligence', 'Reasoning', 'the following problems', 'Intelligence (NaLURI', 'a practical approach', 'the nature', 'a\nsolution framework', '2) limitation', 'the form', '1)\nrestriction', '  This research', '1', '2', 'which']","[0.123184552178009, 0.11201835716690824, 0.1081547218463253, 0.10046970133785434, 0.10000724286730589, 0.09985253293761855, 0.09642786734633703, 0.07702642710101265, 0.076455643378977, 0.07622982183300338, 0.0749698223907516, 0.06865160712336206, 0.06775413744714005, 0.0667104811066126, 0.05274855978165725, 0.04822775731315526, 0.04772317712251425, 0.035112017360980484, 0.030259049915544237, 0.025715332059924753, 0.02438697395827039, 0.020809050259031247, 0.010270321525724031, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['performing model searches', 'probabilistic models', 'word sense disambiguation models', 'several new methods', 'Gibbs Sampling', 'EM', 'Naive Bayesian', 'the\nNaive Bayesian model', 'learning', 'bias-variance decompositions', 'rates', 'the\nunsupervised methods', 'The supervised methods', 'terms', 'a space', 'both the supervised and unsupervised case', 'the use', 'this success', 'An explanation', '  This dissertation']","[0.19755212636819683, 0.18679557736369518, 0.17305358514589902, 0.11015298561959488, 0.10711599911911297, 0.09128773571859676, 0.08736687394042675, 0.07320684151512959, 0.07040908057160153, 0.06896425618054321, 0.060124109189006375, 0.05708804192134903, 0.05564738397727799, 0.05338839967901113, 0.048673622684069516, 0.04166079701374956, 0.03510085739052888, 0.02015814794287721, 0.017794273540224732, 0.012921923452340564]","[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['biological text', 'existing generic text processors', 'modified existing tools', 'key biological information', 'text', 'either specialized biological text processing tools', 'two specialized information extraction tasks', 'relevant literature', 'text\nmining tools', 'domain-specific data extraction techniques', 'Previous studies', 'previous studies', 'the specialization layer', 'the same generalization layer', 'a\ngeneric text processor', 'extensive modification', 'protein-protein interactions', 'new articles', 'researchers', 'publication rate', 'access', 'modification', 'MontyLingua', 'a suitable\nintermediate format', 'experts', 'Muscorian', 'the two-layered\ngeneralization-specialization paradigm', 'a two-layered generalization-specialization\nparadigm', 'approximately 30% recall', 'Evaluation', 'Our study', 'this study', '86-90% precision', 'approximately 30%', '86-90%', 'a corpus', 'the flexibility', '  The exponential increase', 'the use', 'this requirement', 'It', 'This', 'two', 'we', 'which']","[0.1475898220473269, 0.1424195158128282, 0.1293117225228234, 0.12620772962695848, 0.12174522883998984, 0.10638883202856038, 0.08792781032523977, 0.08585399536460293, 0.08579524400963802, 0.08331140054952774, 0.07502747032894119, 0.07502747032894119, 0.06299335318926702, 0.0600929455462564, 0.059777587886071064, 0.059146134738606505, 0.057712424161405894, 0.05761832816147598, 0.05089755225588418, 0.04907993508963718, 0.04904164194443296, 0.046422923717459895, 0.04048326934784829, 0.04018591552872787, 0.039692712837943116, 0.034938630598983805, 0.032997264115276315, 0.03251765366530077, 0.028306483073492716, 0.026844707464290667, 0.026349173555788863, 0.026349173555788863, 0.02262695643538291, 0.020382400981358968, 0.016704264640948582, 0.01618345472744594, 0.01613746222515216, 0.01472023216208692, 0.014046134908248459, 0.012399039264659979, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]"
,,,"['good advantage', 'Inductive Logic Programming', 'related work', 'Dutch phonotactic rules', 'ILP', 'inductive\nlogical operators', 'a machine learning discipline', 'the background knowledge', 'the prior domain\nknowledge', 'informedness', 'the constructed theory', 'Dutch', 'Further research', 'experiments', 'the task', 'the ability', 'a direct correspondence', 'Two different ways', 'the quality', 'the problem', 'The results', '  This paper', 'Two']","[0.11723999057055082, 0.10733541758094045, 0.09385606506909328, 0.09099671570645611, 0.08649855453838287, 0.08358534289350812, 0.06818943629483747, 0.06402552315779331, 0.06339891957133625, 0.060705046324646315, 0.05704311021936672, 0.05701459742776836, 0.0537084330615811, 0.046946456971948325, 0.04388298051303991, 0.03916397343898931, 0.03546971349533815, 0.027638688169438957, 0.026333914538128167, 0.024564179794365613, 0.016896309641690987, 0.012269836097743686, 0.0]","[1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['ordinary language', 'various natural language phenomena', 'our commonsense view', 'a compositional semantics', 'the way', 'the world', 'a strongly typed ontology', 'the\nsemantics', 'the existence', 'such a structure', '  We', 'it', 'that', 'we']","[0.19866835686690149, 0.19724162650824625, 0.07095477249307638, 0.05655010158154954, 0.05017869454593308, 0.0487973858257833, 0.04435941300910908, 0.03186573763247003, 0.028343244200581808, 0.02331667004574138, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
,,,"['complex objects', 'objects', 'wide interest', 'information', 'an object', 'our objects', 'the object', 'A related problem', 'practical examples', 'a problem', 'a\nhierarchical coding', 'the length', 'the information', 'this\nproblem', 'a new way', 'whether natural or\nartifact', 'the computability', 'the class', 'an appropriate representation', 'Our algorithmic complexity', 'We', 'it', 'we']","[0.22124454477405422, 0.2116677741065041, 0.16121956325387987, 0.10385784648728633, 0.09776515708732723, 0.09776515708732723, 0.09776515708732723, 0.0723589820100209, 0.0656267380997496, 0.06414945952277433, 0.05217529538716603, 0.05170028363265547, 0.04796988450151167, 0.04658433532498345, 0.043333805861391725, 0.040510485087215435, 0.036430304911847254, 0.03483681076245624, 0.03480383365311488, 0.03072258563157876, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['deep lexical acquisition methods', 'different word classes', 'lexical items', 'different language resource\ntypes', 'deep lexical\nacquisition applications', 'weaknesses', 'strengths', 'model word\nsimilarity', 'use', 'a seed lexicon', 'morphological, syntactic and ontological language resources', 'The different methods', 'a precision grammar', 'the relative accessibility', 'the buck', 'A particular focus', 'this paper', 'a range', 'We', 'each', 'which']","[0.14700974862415594, 0.14131133507522517, 0.11957201095263971, 0.09370969489273615, 0.09236925285219062, 0.0817507440896989, 0.08014545562072907, 0.07798531690346551, 0.07529968349745672, 0.07515512087044243, 0.07488842750247812, 0.06319871303394799, 0.0518515416033648, 0.04062668763505767, 0.03629350587942048, 0.028802934922695547, 0.02259708090860496, 0.01994718131102516, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
,,,"['large learning abilities', 'communicating agents', 'ability', 'Baldwin effect', 'human civilization', 'biological endowment', 'Baldwin', 'linguistically unskilled agents', 'an abrupt transition', 'an evolutionarily selected learning ability', 'place', 'biological and linguistic ingredients results', 'a model control parameter', 'the learning\nabilities', 'an abrupt change', 'a poorly communicating group', 'both linguistic performance', 'a transition', 'an evolutionary naming-game model', 'the rapid expansion', 'Genetic imprinting', 'almost perfectly communicating\ngroup', 'a\nsmall change', 'Our model', 'the\ntransition', 'an evolutionary\npressure', 'a niche', 'the increase', 'a language', 'our species', 'when\nlinguistic (or cultural) processes', 'Such a coupling', 'We', 'that', 'which']","[0.13966526857252934, 0.13804016262052896, 0.12007185558614025, 0.10011635062855374, 0.10006849887426385, 0.07583588069114748, 0.07435758204623252, 0.06572605899968194, 0.060961472219568436, 0.06072595928523832, 0.06070643148637557, 0.05990014678440023, 0.055090523885866965, 0.054250122546494306, 0.05313588860945878, 0.04922537312227962, 0.04727930996077944, 0.045309896262168727, 0.044687150577439355, 0.04182042441061176, 0.041522361727631484, 0.0399660221574955, 0.03512993117565825, 0.03380959879776357, 0.03290333880783097, 0.03201645022370663, 0.02789194076069478, 0.02751490359982983, 0.02700113632346973, 0.02585238770652752, 0.02359201083236604, 0.009775734628451854, 0.0, 0.0, 0.0]","[1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
,,,"['satisfactory theoretical explanation', 'decreasing frequency', 'word semantics', 'synonyms', 'words', 'competition', 'texts', 'meanings', 'expansion', 'language', 'date', 'the frequency', 'Zipf', 'a word', 'its rank', 'an experimental observation', 'the order', 'the evolution', '  Zipfs law', 'Zipfs\nlaw', 'It', 'We', 'it']","[0.1587863824856394, 0.15514290251301668, 0.14611583652707244, 0.13973352936541591, 0.12885535153738267, 0.10865286358891746, 0.10163541058215798, 0.09878682354393979, 0.09475714617980205, 0.07961866931213674, 0.0769206082809312, 0.061898693823314414, 0.05993801236918828, 0.059515737517305406, 0.05775720376234103, 0.04528528951499462, 0.0425321439494955, 0.033652931942568264, 0.03286691916028028, 0.03286691916028028, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['algorithm', 'WordNet', 'related terms', 'Wikipedia', 'adapted HITS\nalgorithm', 'Information Content', 'HITS', 'metrics and algorithms search', 'Vikipedija rasshirena adaptirovannym\nHITS algoritmom', 'tezaurusah', 'Rogets Thesaurus', 'dlja\nocenki semanticheskoj blizosti russkih slov', 'human-assigned similarity judgments', 'Russian word', 'Vikipedija rasshirena', 'metrika\nInformation Content', 'Vikipedii', 'ocenki', 'poiska', 'Evaluation experiments', 'Russian', 'jeksperimentov', 'Klassifikacija', 'Predlozhen', 'Rozhe', 'S', 'jeksperimentov v Vikipedii', 'The test collection', 'dlja\n', '  The classification', 'i']","[0.13179972127240258, 0.12402578030071185, 0.11361751450344112, 0.10447566526582866, 0.10238216444711627, 0.08984687299257389, 0.08320355852164645, 0.07902733242017758, 0.0774488566902211, 0.0751093510260786, 0.07020937695435354, 0.06942838776065725, 0.0578267109719607, 0.056967668525370004, 0.056967668525370004, 0.055413814382372424, 0.045299098946306716, 0.045299098946306716, 0.045299098946306716, 0.044390404809965436, 0.039987139170253226, 0.039987139170253226, 0.03115878142867841, 0.03115878142867841, 0.03115878142867841, 0.03115878142867841, 0.030211668542007433, 0.023541567195556876, 0.018469268451254985, 0.01045097300558744, 0.0]","[1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3]"
,,,"['communication channels', 'conventional stochastic word sets', 'possible criteria', 'noise', 'signals', 'words', 'means', 'development', 'instance', 'internet-content indexing', 'data\ncompression', 'The Zipf law', 'a criterion', 'the most reliable criterion', 'this law', 'an\narbitrary set', 'The present paper deals', 'Zipf', 'this kind', 'the degree', 'a text', 'the determination', 'the\naspect', 'any rate', '  The task', '3', 'itself', 'one']","[0.15426998317483773, 0.11974228599545043, 0.11717611587562785, 0.09372494691118892, 0.09261429087088162, 0.09177892747108196, 0.08495200121233026, 0.08348942350131426, 0.07842317160413971, 0.07828510524244381, 0.06949143398292076, 0.05251306752156818, 0.050301099241091975, 0.048752383782921835, 0.04462278423735867, 0.044347644654806236, 0.04173776953828671, 0.04119189786197796, 0.03901016297140636, 0.036108514252651484, 0.03499437845233976, 0.0344218724894807, 0.026751747060913832, 0.01902572265523564, 0.013816182561241647, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
